x,y,z,id
239,85,426,1
240,85,426,1
241,85,426,1
242,85,426,1
243,85,426,1
244,85,426,1
245,85,426,1
246,85,426,1
247,85,426,1
248,85,426,1
249,85,426,1
250,85,426,1
251,85,426,1
252,85,426,1
253,85,426,1
254,85,426,1
255,85,426,1
256,85,426,1
257,85,426,1
258,85,426,1
259,85,426,1
260,85,426,1
261,85,426,1
262,85,426,1
263,85,426,1
264,85,426,1
265,85,426,1
266,85,426,1
267,85,426,1
268,85,426,1
269,85,426,1
270,85,426,1
271,85,426,1
272,85,426,1
273,85,426,1
274,85,426,1
275,85,426,1
276,85,426,1
277,85,426,1
278,85,426,1
279,85,426,1
280,85,426,1
281,85,426,1
282,85,426,1
283,86,426,1
284,86,426,1
285,86,426,1
286,86,426,1
287,86,426,1
288,86,426,1
289,86,426,1
290,86,426,1
291,86,426,1
292,86,426,1
293,86,426,1
294,86,426,1
295,86,426,1
296,86,426,1
297,86,426,1
298,86,426,1
299,86,426,1
300,86,426,1
301,86,426,1
302,86,426,1
303,86,426,1
304,86,426,1
305,86,426,1
306,86,426,1
307,86,426,1
308,86,426,1
309,86,426,1
310,86,426,1
311,86,426,1
312,86,426,1
313,86,426,1
314,86,426,1
315,86,426,1
316,86,426,1
317,86,426,1
318,86,426,1
319,86,426,1
320,86,426,1
321,86,426,1
322,86,426,1
323,86,426,1
324,86,426,1
325,86,426,1
326,86,426,1
327,86,426,1
328,86,426,1
329,86,426,1
330,86,426,1
331,86,426,1
332,86,426,1
333,86,426,1
334,86,426,1
335,86,426,1
336,86,426,1
337,86,426,1
338,86,426,1
339,86,426,1
340,86,426,1
341,86,426,1
342,86,426,1
343,86,426,1
344,86,426,1
345,86,426,1
346,86,426,1
347,86,426,1
348,86,426,1
349,86,426,1
350,86,426,1
351,86,426,1
352,86,426,1
353,86,426,1
354,86,426,1
355,86,426,1
356,86,426,1
357,86,426,1
358,86,426,1
359,86,426,1
360,86,426,1
361,86,426,1
362,86,426,1
363,86,426,1
364,86,426,1
365,86,426,1
366,86,426,1
367,86,426,1
368,86,426,1
369,86,426,1
370,86,426,1
371,86,426,1
372,86,426,1
373,86,426,1
374,86,426,1
375,86,426,1
376,86,426,1
377,86,426,1
378,86,426,1
379,86,426,1
380,86,426,1
381,86,426,1
382,86,426,1
383,86,426,1
384,86,426,1
385,86,426,1
386,86,426,1
387,86,426,1
388,86,426,1
389,86,426,1
390,86,426,1
391,86,426,1
392,86,426,1
393,86,426,1
394,86,426,1
395,86,426,1
396,86,426,1
397,86,426,1
398,86,426,1
399,86,426,1
400,85,426,1
401,85,426,1
402,85,426,1
403,85,426,1
404,85,426,1
405,85,426,1
406,85,426,1
407,85,426,1
408,85,426,1
409,85,426,1
410,85,426,1
411,85,426,1
412,85,426,1
413,85,426,1
414,85,426,1
415,85,426,1
416,85,426,1
417,85,426,1
418,85,426,1
419,85,426,1
420,85,426,1
421,85,426,1
422,85,426,1
423,85,426,1
424,85,426,1
425,85,426,1
426,85,426,1
427,85,426,1
428,85,426,1
429,85,426,1
430,85,426,1
431,85,426,1
432,85,426,1
433,85,426,1
434,85,426,1
435,84,426,1
436,84,426,1
437,84,426,1
438,84,426,1
439,84,426,1
440,84,426,1
441,84,426,1
442,84,426,1
443,84,426,1
444,84,426,1
445,84,426,1
446,84,426,1
447,84,426,1
448,84,426,1
449,84,426,1
450,84,426,1
451,84,426,1
452,84,426,1
453,84,426,1
454,84,426,1
455,84,426,1
456,84,426,1
457,84,426,1
458,84,426,1
459,84,426,1
460,84,426,1
461,84,426,1
462,84,426,1
463,84,426,1
464,84,426,1
465,83,426,1
466,83,426,1
467,83,426,1
468,83,426,1
469,83,426,1
470,83,426,1
471,83,426,1
472,83,426,1
473,83,426,1
474,83,426,1
475,83,426,1
476,83,426,1
477,83,426,1
478,83,426,1
479,83,426,1
480,83,426,1
481,83,426,1
482,83,426,1
483,83,426,1
484,83,426,1
485,83,426,1
486,83,426,1
487,83,426,1
488,83,426,1
489,83,426,1
490,83,426,1
491,83,426,1
492,83,426,1
493,83,426,1
494,83,426,1
495,82,426,1
496,82,426,1
497,82,426,1
498,82,426,1
499,82,426,1
500,82,426,1
501,82,426,1
502,82,426,1
503,82,426,1
504,82,426,1
505,82,426,1
506,82,426,1
507,82,426,1
508,82,426,1
509,82,426,1
510,82,426,1
511,82,426,1
512,82,426,1
513,82,426,1
514,82,426,1
515,82,426,1
516,82,426,1
517,82,426,1
518,82,426,1
519,82,426,1
520,82,426,1
521,82,426,1
522,82,426,1
523,82,426,1
524,82,426,1
525,82,426,1
526,82,426,1
527,82,426,1
528,82,426,1
529,82,426,1
530,82,426,1
531,82,426,1
532,82,426,1
533,82,426,1
534,82,426,1
535,82,426,1
536,82,426,1
537,82,426,1
538,83,426,1
539,83,426,1
540,83,426,1
541,83,426,1
542,83,426,1
543,83,426,1
544,83,426,1
545,83,426,1
546,83,426,1
547,83,426,1
548,83,426,1
549,83,426,1
550,83,426,1
551,83,426,1
552,83,426,1
553,83,426,1
554,83,426,1
555,83,426,1
556,83,426,1
557,83,426,1
558,83,426,1
559,84,426,1
560,84,426,1
561,84,426,1
562,84,426,1
563,84,426,1
564,84,426,1
565,84,426,1
566,84,426,1
567,84,426,1
568,84,426,1
569,84,426,1
570,85,426,1
571,85,426,1
572,85,426,1
573,85,426,1
574,85,426,1
575,85,426,1
576,85,426,1
577,85,426,1
578,85,426,1
579,85,426,1
580,85,426,1
581,85,426,1
582,86,426,1
583,86,426,1
584,86,426,1
585,86,426,1
586,86,426,1
587,86,426,1
588,86,426,1
589,86,426,1
590,86,426,1
591,86,426,1
592,86,426,1
593,86,426,1
594,86,426,1
595,86,426,1
596,86,426,1
597,86,426,1
598,87,426,1
599,87,426,1
600,87,426,1
601,87,426,1
602,87,426,1
603,87,426,1
604,87,426,1
605,87,426,1
